x,y,Frequency
51.04164,-114.068875,4
45.609734,-73.3745,4
46.103316,-60.752807,4
47.406304,-54.886839,4
44.461823,-79.736644,4
43.553809,-81.396552,4
43.714904,-79.581406,4
,0,4
43.67236,-79.443971,4
43.671751,-79.376885,4
46.523762,-80.929115,4
43.391201,-81.007765,4
44.496211,-81.366333,4
45.380752,-75.750566,4
43.589072,-81.081714,4
42.038852,-82.735842,4
43.213671,-79.855333,4
45.536306,-77.099026,4
53.541041,-113.507391,4
43.551749,-79.655637,4
54.128935,-115.673533,4
55.069012,-117.276834,4
53.546655,-113.29855,4
52.378698,-114.924911,4
52.251026,-113.79876,4
49.486355,-113.949062,4
53.264625,-110.024136,4
53.700511,-113.232463,4
53.476167,-113.583053,4
53.590259,-113.461809,4
53.569564,-113.413184,4
53.559268,-113.445452,4
51.083738,-114.128843,4
54.120027,-114.398102,4
45.107422,-72.600893,4
50.447117,-104.595507,4
50.940686,-104.499531,4
52.201454,-105.121424,4
51.050487,-114.094122,4
45.56853,-73.193309,4
45.494366,-75.708331,4
49.605831,-96.695789,4
,0,4
44.642217,-63.580183,4
49.814387,-97.213605,4
43.648913,-79.380206,4
49.25761,-123.109903,4
49.285645,-123.119004,4
45.66975,-61.538005,4
53.868079,-94.659451,4
49.859646,-97.107293,4
43.647888,-79.381916,4
45.629322,-73.593124,4
45.632821,-73.587819,4
45.635295,-73.584341,4
45.626483,-73.598099,4
45.626666,-73.621806,4
45.634005,-73.594401,4
45.655314,-73.56658,4
45.642609,-73.573197,4
45.593883,-73.512128,4
45.654995,-73.510095,4
45.742583,-73.312188,4
45.656803,-73.509539,4
45.652839,-73.510826,4
45.651715,-73.491672,4
45.611536,-73.510802,4
45.63167,-73.495627,4
45.668781,-73.49951,4
